kind,id,file,heading,date,statut,lieu,ville,pays,ere,source,url_detail,atomes_lies,notes,place_id,nom_tournee,chronologie_id,setlist
concert,JD-CONCERT-19770529-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-05-29,confirme,Electric Circus,Manchester,UK,Warsaw,joydiv.org,https://joydiv.org/c290577.htm,[],Premier concert. Affiche du concert annonce Stiff Kittens ; le groupe joue sous le nom Warsaw.,PLACE-ELECTRIC-CIRCUS,,,
concert,JD-CONCERT-19770531-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-05-31,confirme,Rafters,Manchester,UK,Warsaw,joydiv.org,,[],,PLACE-RAFTERS-MANCHESTER,,,
concert,JD-CONCERT-19770603-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-06-03,confirme,The Squat,Manchester,UK,Warsaw,joydiv.org,,[],,,,,
concert,JD-CONCERT-19770606-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-06-06,confirme,Guild Hall,Newcastle,UK,Warsaw,joydiv.org,,[],,PLACE-NEWCASTLE-GUILDHALL,,,
concert,JD-CONCERT-19770616-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-06-16,confirme,The Squat,Manchester,UK,Warsaw,joydiv.org,,[],,,,,
concert,JD-CONCERT-19770625-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-06-25,confirme,The Squat,Manchester,UK,Warsaw,joydiv.org,,[],,,,,
concert,JD-CONCERT-19770630-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-06-30,confirme,Rafters,Manchester,UK,Warsaw,joydiv.org,,[],,PLACE-RAFTERS-MANCHESTER,,,
concert,JD-CONCERT-19770720-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-07-20,confirme,Tiffany's,Leicester,UK,Warsaw,joydiv.org,,[],,PLACE-TIFFANYS-LEICESTER,,,
concert,JD-CONCERT-19770827-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-08-27,douteux,Eric's,Liverpool,UK,Warsaw,joydiv.org,,[],Source signale : pas un concert Warsaw — attribution incertaine.,,,,
concert,JD-CONCERT-19770827-002,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-08-27,douteux,Electric Circus,Manchester,UK,Warsaw,joydiv.org,,[],Source signale : date incorrecte — à reverifier.,PLACE-ELECTRIC-CIRCUS,,,
concert,JD-CONCERT-19770914-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-09-14,confirme,Rock Garden,Middlesbrough,UK,Warsaw,joydiv.org,,[],,PLACE-ROCK-GARDEN-MIDDLESBROUGH,,,
concert,JD-CONCERT-19770924-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-09-24,confirme,Electric Circus,Manchester,UK,Warsaw,joydiv.org,,[],,PLACE-ELECTRIC-CIRCUS,,,
concert,JD-CONCERT-19771002-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-02,confirme,Electric Circus,Manchester,UK,Warsaw,joydiv.org,,[],Dernier concert au Electric Circus (clôture du club).,PLACE-ELECTRIC-CIRCUS,,,
concert,JD-CONCERT-19771007-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-07,confirme,Salford College of Technology,Salford,UK,Warsaw,joydiv.org,,[],,PLACE-SALFORD-TECHNICAL-COLLEGE,,,
concert,JD-CONCERT-19771008-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-08,confirme,Manchester Polytechnic,Manchester,UK,Warsaw,joydiv.org,,[],,,,,
concert,JD-CONCERT-19771013-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-13,confirme,Rafters,Manchester,UK,Warsaw,joydiv.org,,[],,PLACE-RAFTERS-MANCHESTER,,,
concert,JD-CONCERT-19771019-001,registers/concerts/00_canonical_concerts.md,1977 — Warsaw / Stiff Kittens,1977-10-19,confirme,Pipers,Manchester,UK,Warsaw,joydiv.org,,[],,PLACE-PIPERS-CYPRUS-TAVERN,,,
