kind,id,file,heading,id,nom,name,definition,filiation,niveau_consensus,chapitres,sources,concept,related_atoms,usage_chapitres,prudence,label,source_id,atoms,statut,source_label,source_short_title,source_year,type_unite,atomes,source_ids,atomes_associes,fonction_argumentative,nom_en,usage_repo,atomes_lies,relations,risques,liens,titre,concepts,fiabilite,resume,origine,motifs_associes,concepts_derives,chapters,nom_original,critiques,nom_fr
concept,CONCEPT-S27-001,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-001,,,"Compte rendu d’un ouvrage non directement substituable à l’ouvrage recensé ; utile comme synthèse critique, mais insuffisant pour les données fines.",,,,"[""S27""]",source secondaire au second degré,"[""S27-A001"", ""S27-A010""]","[""Chapitre 1"", ""Chapitre 8"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S27-002,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-002,,,"Approche qui combine mesures de réseau, archives qualitatives, lieux et interactions pour comprendre la formation des scènes punk / post-punk.",,,,"[""S27""]",analyse relationnelle des scènes,"[""S27-A002"", ""S27-A003""]","[""Chapitre 1"", ""Chapitre 2""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S27-003,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-003,,,"Dynamique collective où coopération, rivalité et interactions intenses stimulent la production d’une scène musicale.",,,,"[""S27""]",effervescence collective musicale,"[""S27-A004""]","[""Chapitre 2"", ""Chapitre 3"", ""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S27-004,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-004,,,"Acteurs non nécessairement musiciens — managers, ingénieurs, disquaires, médiateurs — qui fournissent ressources, connexions et fonctions de gatekeeping.",,,,"[""S27""]",personnel renfort des scènes musicales,"[""S27-A005""]","[""Chapitre 2"", ""Chapitre 3"", ""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S27-005,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-005,,,"Application à la musique de l’idée beckerienne de monde de l’art : production collective, conventions, médiateurs, lieux et interactions.",,,,"[""S27""]",music world crossleyen,"[""S27-A006""]","[""Chapitre 1"", ""Chapitre 8""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S27-006,sources/riom_review_crossley_networks/registres_structurants_s27.md,Concepts,CONCEPT-S27-006,,,"Déplacement méthodologique : ne plus chercher une cause unique du punk, mais les processus relationnels par lesquels il devient possible.",,,,"[""S27""]",émergence comme processus,"[""S27-A007""]","[""Chapitre 1"", ""Chapitre 2""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S11-001,sources/uk_treasury_fsbr_1987_88/registres_structurants_s11.md,Concepts,CONCEPT-S11-001,,,"Langue gouvernementale de la reprise : croissance, désinflation, entreprise, baisse fiscale, recul relatif de l’État et emploi.",,,,"[""S11""]",récit macroéconomique officiel Thatcher 1987,"[""S11-A001"", ""S11-A006"", ""S11-A010""]","[""Chapitre 1"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S11-002,sources/uk_treasury_fsbr_1987_88/registres_structurants_s11.md,Concepts,CONCEPT-S11-002,,,"Cadre de politique macroéconomique structurant la désinflation par la maîtrise de la croissance nominale, de la monnaie et du PSBR.",,,,"[""S11""]",Medium Term Financial Strategy,"[""S11-A002""]","[""Chapitre 1""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S11-003,sources/uk_treasury_fsbr_1987_88/registres_structurants_s11.md,Concepts,CONCEPT-S11-003,,,"Réduction du poids relatif de la dépense publique, contrôle de l’emprunt et rôle des privatisations dans le cadrage financier de l’État.",,,,"[""S11""]",discipline budgétaire thatchérienne,"[""S11-A004"", ""S11-A005""]","[""Chapitre 1""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S11-004,sources/uk_treasury_fsbr_1987_88/registres_structurants_s11.md,Concepts,CONCEPT-S11-004,,,Usage d’un document macroéconomique officiel pour mettre en tension les récits culturels du déclin avec le récit gouvernemental de stabilisation.,,,,"[""S11""]",contrepoint macroéconomique,"[""S11-A006"", ""S11-A007"", ""S11-A008"", ""S11-A010""]","[""Chapitre 1"", ""Chapitre 14""]",Contrepoint ne signifie pas réfutation des expériences locales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S11-005,sources/uk_treasury_fsbr_1987_88/registres_structurants_s11.md,Concepts,CONCEPT-S11-005,,,"Principe méthodologique : les indicateurs nationaux de croissance, compétitivité ou emploi ne prouvent pas directement la condition sociale de Manchester ou Salford.",,,,"[""S11""]",non-extrapolation macro-locale,"[""S11-A008"", ""S11-A009"", ""S11-A010""]","[""Chapitre 1"", ""Chapitre 9""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-001,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-001,,,"Retour historiographique au post-punk comme outil de critique du présent néolibéral, et non comme seule nostalgie générationnelle.",,,,"[""S26""]",retour critique au post-punk,"[""S26-A001"", ""S26-A003""]","[""Chapitre 7"", ""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-002,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-002,,,"Modernisme populaire : culture de masse expérimentale, difficile, orientée vers la nouveauté et le futur, notamment formulée par Mark Fisher.",,,,"[""S26""]",popular modernism,"[""S26-A002"", ""S26-A016""]","[""Chapitre 3"", ""Chapitre 7"", ""Chapitre 14""]","Concept de Fisher à manier comme outil critique, non comme catégorie universelle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-003,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-003,,,Aplatissement du temps culturel par lequel le passé reste étrangement contemporain tandis que le présent peine à produire du futur.,,,,"[""S26""]",flattening of cultural time,"[""S26-A003""]","[""Chapitre 14""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,CONCEPT-S26-004,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,Concepts,CONCEPT-S26-004,,,"Processus par lequel l’incapacité, l’amateurisme et les contraintes deviennent moteurs d’autorisation créative.",,,,"[""S26""]",self-authorisation autodidacte,"[""S26-A004""]","[""Chapitre 2"", ""Chapitre 3""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
