kind,id,file,heading,label,type,type_detail,sources,usage,lat,lng,geo_precision,prudence_methodologique,same_as,reference_croisee,alternate_labels,chapters,aliases,source_files,pages_livre,pages_pdf,source_short_title,source_year,statut,alternate_type_details,_legacy_format,atoms,prudence,alternate_legacy_formats,usage_s05,usage_s06,usage_s10,song_ids,source_id,source_label
place,PLACE-ACTIONSPACE-LONDON,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Actionspace, London",salle,espace_alternatif,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-ALBERT-HALL-STIRLING,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Albert Hall, Stirling",salle,salle_spectacle,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,56.11815,-3.94186,exacte,24 Dumbarton Road ; Historic Environment Scotland LB41099. Source: trove.scot,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-ASSEMBLY-ROOMS-DERBY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Assembly Rooms, Derby",salle,salle_municipale,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,52.92331,-1.47619,exacte,batiment demoli/transforme ; localisation historique fiable. Source: commons.wikimedia.org,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-ASTORIA-EDINBURGH,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"The Astoria, Edinburgh",salle,salle_concert,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-BANGOR-UNIVERSITY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),Bangor University,education,universite,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,53.2289,-4.1269,quartier,"campus historique, pas d'une salle precise. Source: bangor.ac.uk",,,,,,,,,,,,,,,,,,,,,,
place,PLACE-BIRMINGHAM-UNIVERSITY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),University of Birmingham (High Hall),education,universite,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,52.45029,-1.93,exacte,High Hall devenu Chamberlain Hall ; coordonnee calee sur The Vale. Source: enkiri.com,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-BOLTON-INSTITUTE-OF-TECHNOLOGY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),Bolton Institute of Technology,education,institut_technique,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-BRADFORD-UNIVERSITY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),Bradford University,education,universite,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,53.79147,-1.76607,quartier,coordonnee du campus central/Richmond Building. Source: bradford.ac.uk,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CAPITOL-ABERDEEN,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Capitol, Aberdeen",salle,salle_concert,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CARDIFF-UNIVERSITY,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),Cardiff University,education,universite,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,51.48839,-3.1775,exacte,"Cardiff Students' Union, Park Place / Senghennydd Road. Source: cardiff.ac.uk",,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CITY-HALL-CORK,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"City Hall, Cork",salle,salle_municipale,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CITY-HALL-HULL,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"City Hall, Hull",salle,salle_concert,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,53.74368,-0.33979,exacte,"batiment liste, Queen Victoria Square, HU1 3RQ. Source: historicengland.org.uk",,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CIVIC-HALL-GUILDFORD,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Civic Hall, Guildford",salle,salle_municipale,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,51.23946,-0.56491,exacte,ancien batiment demoli ; coordonnee du site historique/G Live. Source: setlist.fm,,,,,,,,,,,,,,,,,,,,,,
place,PLACE-CLUB-VERA-GRONINGEN,registers/places/concert_venues_7abis.md,Lieux de concerts (suite) — venues joydiv débloqués (étape 7a-bis),"Club Vera, Groningen",salle,club,"[""joydiv""]",Venue de concert de Joy Division (source joydiv.org).,53.21703,6.57011,exacte,"Oosterstraat 44, Groningen ; salle existante. Source: visitgroningen.nl",,"[""wikidata:Q17389445""]",,,,,,,,,,,,,,,,,,,,
