kind,id,file,heading,song,period,themes,sources,chapters,certainty,type_unite,source_id,usage,chapitres,source_label,source_short_title,source_year,titre_fr,fonction_s29,related_atoms,related_concepts,notes,related_myths,canonical_song,slug,category,status,albums,aliases,include_variants,exclude,separate_from,fonction_s75,related_motifs,type,writers,keywords,production,live_history,lyrics,related_quotes,contradictions,related_events,related_people,fonction_s34
song,SONG-S51-DIGITAL,registers/s51_malvezzi_specialized_registers.md,Chansons,Digital,,,,,,song,S51,"Exergue du chapitre ; motif du fade away, de la disparition et de la survivance par effacement.","[""Chapitre 4"", ""Chapitre 14""]","S51 — Malvezzi, Dream English Kid 1978-1980, 2021","Jennifer Malvezzi, Dream English Kid 1978-1980. L’immagine lo-fi dei Joy Division nei media popolari inglesi, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S51-SHES_LOST_CONTROL,registers/s51_malvezzi_specialized_registers.md,Chansons,She’s Lost Control,,,,,,song,S51,"Chanson associée au fragment filmé du concert d’Eric’s ; Curtis est à peine visible dans le noir, avec la danse presque recouverte par les voix du public.","[""Chapitre 4"", ""Chapitre 13"", ""Chapitre 14""]","S51 — Malvezzi, Dream English Kid 1978-1980, 2021","Jennifer Malvezzi, Dream English Kid 1978-1980. L’immagine lo-fi dei Joy Division nei media popolari inglesi, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S58-BLUE-MONDAY,registers/s58_ilardi_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Blue Monday,,,,,,song,S58,Seuil de mutation New Order vers l’électronique et la culture club.,"[""Chapitre 6"", ""Chapitre 14""]","S58 — Ilardi, Ian Curtis is not dead, 2021","Emiliano Ilardi, Ian Curtis is not dead. Dalla Factory Records ai rave nelle factories, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S58-DIGITAL,registers/s58_ilardi_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Digital,,,,,,song,S58,Exemple de texte et de forme pouvant être lus comme anticipation du code binaire et de la sensibilité protodigitale.,"[""Chapitre 10"", ""Chapitre 14""]","S58 — Ilardi, Ian Curtis is not dead, 2021","Emiliano Ilardi, Ian Curtis is not dead. Dalla Factory Records ai rave nelle factories, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S58-ATROCITY-EXHIBITION,registers/s58_ilardi_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Atrocity Exhibition,,,,,,song,S58,Point de contact Ballard / science-fiction / distopie urbaine dans la lecture d’Ilardi.,"[""Chapitre 4"", ""Chapitre 11""]","S58 — Ilardi, Ian Curtis is not dead, 2021","Emiliano Ilardi, Ian Curtis is not dead. Dalla Factory Records ai rave nelle factories, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S58-SHES-LOST-CONTROL,registers/s58_ilardi_specialized_registers.md,"Acteurs, lieux, organisations, chansons",She’s Lost Control,,,,,,song,S58,Exemple de studio-instrument et d’expérimentation Hannett autour de la texture sonore.,"[""Chapitre 6""]","S58 — Ilardi, Ian Curtis is not dead, 2021","Emiliano Ilardi, Ian Curtis is not dead. Dalla Factory Records ai rave nelle factories, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S52-ATMOSPHERE,registers/s52_rabbito_specialized_registers.md,Chansons,Atmosphere,,,,,,song,S52,Rappel du clip de Corbijn de 1988 ; élément d’autorité esthétique qui renforce la réception de Control.,"[""Chapitre 5"", ""Chapitre 10"", ""Chapitre 14""]","S52 — Rabbito, Control e l’infrangimento del vetro, 2021","Andrea Rabbito, Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S52-SHES_LOST_CONTROL,registers/s52_rabbito_specialized_registers.md,Chansons,She’s Lost Control,,,,,,song,S52,Chanson relue par Rabbito en lien avec l’epilepsy dance et la préfiguration interprétative de la perte de contrôle.,"[""Chapitre 4"", ""Chapitre 12""]","S52 — Rabbito, Control e l’infrangimento del vetro, 2021","Andrea Rabbito, Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S52-ROCK_AND_ROLL_SUICIDE,registers/s52_rabbito_specialized_registers.md,Chansons,Rock And Roll Suicide,,,,,,song,S52,Référence rapportée via Deborah Curtis pour la fascination adolescente de Curtis envers la mort prématurée ; usage très prudent.,"[""Chapitre 12""]","S52 — Rabbito, Control e l’infrangimento del vetro, 2021","Andrea Rabbito, Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S52-ALL_THE_YOUNG_DUDES,registers/s52_rabbito_specialized_registers.md,Chansons,All The Young Dudes,,,,,,song,S52,Référence rapportée via Deborah Curtis dans le contexte adolescent de Curtis ; à vérifier avant toute citation.,"[""Chapitre 12""]","S52 — Rabbito, Control e l’infrangimento del vetro, 2021","Andrea Rabbito, Control e l’infrangimento del vetro. Oltre la superficie biografica di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
