kind,id,file,heading,source_id,source_label,source_short_title,auteur,titre,pages_pdf,type_unite,concepts,chapitres,statut,fiabilite,role_argumentatif,niveau_preuve,stabilite,importance,risque_surinterpretation,liens_interchapitres,liens_citations,motifs,concepts_derives,charge_emotionnelle,nature_discursive,pages_livre,citation_directe,song_id,canonical_song,source_year,related_people,related_organisations,pages,citation,resume,relations,couche_narrative,usage_livre,workflow,date_integration,statut_citationnel,passage_atomise,chapitres_secondaires,methodological_warnings,related_places,related_sources,related_organizations,related_events,related_songs,citation_courte,editeur_temoignage,source_secondaire,note,support,datation,prudence,song_id_2,canonical_song_2,song_id_lwtua,canonical_song_lwtua,source_primaire,song_ids,canonical_songs,related_works,notes,auteurs_direction,locuteurs,related_albums,related_references,$type_unite,lieu,personne,personnes,periode,annee,pages_print,preuve,titre_chapitre,titre_ouvrage,auteur_section_manchester,section,pages_rapport,related_songs_soundcheck,source_generation,artiste,titre_album,label,catalogue,source_titre,album,date_sortie,atomes,page_pdf,page_livre,aspect_traite,atomes_associes,nature,usage,atomes_lies,version,recording_date,studio,associated_people,related_atoms,related_quotes,chapters,verification,location,tracks_discussed_by_S76,tracks,recording_period,associated_label,broadcast_date,release_context,associated_author_reference,associated_release,format,usage_by_S76,original_artist,scope,period,locations,screening_date,associated_event,associated_visual,usage_by_joy_division,associated_tracks,associated_video
atom,S80-A001,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,"S80-A001 — Cadre méthodologique : Craig's constitutive metamodel, 7 traditions de communication",S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,130-132,cadre_methodologique,"[""communication_musicale"", ""craig_metamodel"", ""inarticulacy"", ""transmission_model""]","[4, 6]",verifie,haute,,,,critique,,,,,,,,99-100,False,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A002,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,"S80-A002 — Sémiotique : pheno-song → geno-song — Barthes, Hannett et la jouissance Joy Division",S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,132-133,analyse_semiotique,"[""geno_song"", ""pheno_song"", ""jouissance"", ""signifiance_barthes"", ""hannett_production"", ""semiotique_peirce""]","[3, 6]",verifie,haute,,,,critique,,,,,,,,101-102,True,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A003,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,"S80-A003 — Phénoménologie : construction du mythe de l'obscurité, anti-image, refus de communiquer",S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,133-135,analyse_phenomenologique,"[""anti_image"", ""obscurite_joy_division"", ""phenomenologie_communication"", ""communication_design""]","[6, 14]",verifie,haute,,,,majeure,,,,,,,,102-103,True,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A004,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,"S80-A004 — Sociopsychologie : inarticulacy, grain de la voix, communication affective et corporelle",S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,134-137,analyse_sociopsychologique,"[""inarticulacy"", ""grain_de_la_voix"", ""signifiance_barthes"", ""communication_affective"", ""proxemique"", ""paralanguage""]","[4, 6, 12]",verifie,haute,,,,critique,,,,,,,,103-104,True,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A005,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,S80-A005 — Rhétorique : la mort de Curtis transforme la force illocutoire des paroles,S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,136-137,analyse_rhetorique,"[""force_illocutoire"", ""speech_act_theory"", ""acte_de_parole_posthume"", ""inarticulacy"", ""rhetoriques_curtis""]","[4, 14]",verifie,haute,,,,critique,,,,,,,,105,True,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A006,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,"S80-A006 — Socioculturel : Durutti Column, inarticulacy dans la culture rock, 'No Communication' vs 'Transmission'",S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,137-138,analyse_intertextuelle,"[""inarticulacy"", ""communication_musicale"", ""durutti_column"", ""intertextualite_sonore"", ""factory_sample""]","[3, 6]",verifie,haute,,,,majeure,,,,,,,,105-106,False,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S80-A007,sources/valdes_miyares_transmission/atoms_dm_s80_transmission_v2.md,S80-A007 — Conclusions et héritage numérique : le vrai langage de Joy Division,S80,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018","J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",,,138-141,conclusion_analytique,"[""communication_musicale"", ""heritage_numerique"", ""firstness_peirce"", ""films_joy_division"", ""inarticulacy""]","[6, 14]",verifie,haute,,,,majeure,,,,,,,,107-109,True,JD-SONG-020,Transmission,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S62-A001,sources/heart_soul_introduction/atoms_dm_s62_introduction_v2.md,S62-A001 — S62 comme source de cadrage académique : statut épistémologique et prudences,S62,"S62 — Power, Dillane, Devereux, Introduction Heart and Soul, 2018","Martin J. Power, Aileen Dillane, Eoin Devereux, This Is the Way, Step Inside: Understanding Joy Division, 2018",,,21–33,declaration_methodologique,"[""source académique rétrospective"", ""posture fan/critique"", ""réflexivité déclarée""]","[""Chapitre 14""]",verifie,forte,,,,critique,,,,,,,,xvii–xxx,False,,,2018,"[""Martin J. Power"", ""Aileen Dillane"", ""Eoin Devereux""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S62-A002,sources/heart_soul_introduction/atoms_dm_s62_introduction_v2.md,S62-A002 — Joy Division : données factuelles stabilisées et point de départ consensuel,S62,"S62 — Power, Dillane, Devereux, Introduction Heart and Soul, 2018","Martin J. Power, Aileen Dillane, Eoin Devereux, This Is the Way, Step Inside: Understanding Joy Division, 2018",,,21–22,synthese_factuelle,"[""données biographiques consensuelles"", ""formation du groupe"", ""discographie synthétique""]","[""Chapitre 2"", ""Chapitre 3""]",verifie,forte_pour_cadrage_à_croiser_pour_exactitude,,,,majeure,,,,,,,,xvii–xviii,False,,,2018,"[""Ian Curtis"", ""Peter Hook"", ""Bernard Sumner"", ""Stephen Morris"", ""Rob Gretton"", ""Tony Wilson"", ""Peter Saville"", ""Martin Hannett""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom,S62-A003,sources/heart_soul_introduction/atoms_dm_s62_introduction_v2.md,"S62-A003 — Premier concert de New Order : 30 juillet 1980, Oozits Bar, Shudehill, Manchester",S62,"S62 — Power, Dillane, Devereux, Introduction Heart and Soul, 2018","Martin J. Power, Aileen Dillane, Eoin Devereux, This Is the Way, Step Inside: Understanding Joy Division, 2018",,,21,fait_evenementiel,"[""premier concert New Order"", ""humour noir post-Curtis"", ""transition Joy Division / New Order""]","[""Chapitre 13""]",verifie,forte_à_croiser_avec_sources_primaires,,,,majeure,,,,,,,,xvii,False,,,2018,"[""Peter Hook"", ""Stephen Morris"", ""Bernard Sumner"", ""Ian Curtis""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
