kind,id,file,heading,source_id,source_label,coverage,chapters,nature,status,priority,source_author,source_title,preuve,usage,prudence,source_short_title,source_year,workflow,date_integration,passage_atomise,statut_citationnel,article_author,article_title,volume,article_authors,version,date_atomisation,atomes,type,date_creation,type_unite,statut,fiabilite,atomes_source,dossier_source,source_drive,fichier_source_original,volume_contenant,auteur,titre,citation_directe,pages_pdf,annee_publication_en_ligne,annee_volume,source_url,fichier_source_recommande,publication,volume_numero,pagination,doi,licence,chapitres,chapitres_secondaires,niveau_preuve,pages_livre,passage,song_id,canonical_song,editeur,note_passage,distinct_from,atoms_file,relations_ids,atomisation_integrale,nb_atomes,nb_relations,previous_source_id,previous_source_redirect,source_id_requested_initially,titre_chapitre,titre_ouvrage,annee,edition,pages_utiles_pdf,source_auteur,source_titre,next_pass,source_part,date_revision,couverture,date_passe,legacy_id,relations,relations_file,note_numerotation,book_title,proof_level,date,identifiant_archive,publication_principale,pieces_incluses,auteur_section_manchester,section_utile,pages_utiles,section,annee_originale,annee_edition_us,source_fichier,lieu_edition,eisbn,titre_article,direction
metadata,NO_ID::sources/allegri_living_in_the_ice_age/source.md::17,sources/allegri_living_in_the_ice_age/source.md,9. Consignes pour les futurs atomes,S31,"S31 — Allegri, Living in the Ice Age, 2021",,,,,,Giuseppe Allegri,Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo,"source secondaire interprétative / essai politico-culturel sur Joy Division, Manchester, Factory, post-situationnisme, isolationnisme, communanza, no future et hantologie",impresa comune ; communanza ; solitude ; Manchester ; Factory ; plateformes urbaines ; Quinto Stato ; Martin Hannett ; dub ; isolation sonore ; Ice Age ; No Future ; Bifo ; Marcus ; hantologie ; spectres ; impossibilité de commencer un monde possible,"ne pas utiliser comme source factuelle unique ; vérifier paroles et citations ; distinguer théorie, témoignage rapporté et fait historique ; croiser avec sources urbaines, biographiques, discographiques et philosophiques","Giuseppe Allegri, Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/amendola_troianiello_metropoli_spazio_periferico/atoms_dm_s42_metropoli_spazio_periferico_v2.md::33,sources/amendola_troianiello_metropoli_spazio_periferico/atoms_dm_s42_metropoli_spazio_periferico_v2.md,"S42 — Atomes v2 — Amendola & Troianiello, « Metropoli e spazio periferico nell’underground post-punk inglese », 2021",S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",,,,,,,,,,,"Alfonso Amendola et Novella Troianiello, Metropoli e spazio periferico nell underground post-punk inglese, 2021",2021,atomisation sélective v2,2026-05-17,"Chapitre/article complet : « Metropoli e spazio periferico nell’underground post-punk inglese », dans Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Rogas, 2021, p. 41-53 de l’exemplaire PDF.",pas de citation longue intégrée ; les citations verbatim éventuelles doivent être repaginées et contrôlées avant usage manuscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/amendola_troianiello_metropoli_spazio_periferico/dm_rag_update_s42_metropoli_spazio_periferico.md::47,sources/amendola_troianiello_metropoli_spazio_periferico/dm_rag_update_s42_metropoli_spazio_periferico.md,"S42 — Mise à jour documents maîtres et RAG — Centre/périphérie, focal places, géographie post-punk",S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",,,,,,,,,,,"Alfonso Amendola et Novella Troianiello, Metropoli e spazio periferico nell underground post-punk inglese, 2021",2021,mise à jour documents maîtres et RAG,2026-05-17,"Article complet « Metropoli e spazio periferico nell’underground post-punk inglese », p. 41-53 de l’exemplaire PDF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/amendola_troianiello_metropoli_spazio_periferico/registers_update_s42_metropoli_spazio_periferico.md::48,sources/amendola_troianiello_metropoli_spazio_periferico/registers_update_s42_metropoli_spazio_periferico.md,"S42 — Compléments aux registres — Centre/périphérie, focal places et géographie post-punk",S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",,,,,,,,,,,"Alfonso Amendola et Novella Troianiello, Metropoli e spazio periferico nell underground post-punk inglese, 2021",2021,compléments registres structurants et spécialisés,2026-05-17,"Article complet, p. 41-53 de l’exemplaire PDF : « Gioco di ombre » et « Luoghi ».",aucune citation longue intégrée ; les verbatim doivent être vérifiés et repaginés avant usage manuscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/amendola_troianiello_metropoli_spazio_periferico/relations_s42_metropoli_spazio_periferico_v2.md::49,sources/amendola_troianiello_metropoli_spazio_periferico/relations_s42_metropoli_spazio_periferico_v2.md,"S42 — Relations stabilisées v2 — Amendola & Troianiello, centre/périphérie et focal places",S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",,,,,,,,,,,"Alfonso Amendola et Novella Troianiello, Metropoli e spazio periferico nell underground post-punk inglese, 2021",2021,relations stabilisées v2,2026-05-17,"Article complet, p. 41-53 de l’exemplaire PDF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/amendola_troianiello_metropoli_spazio_periferico/source.md::61,sources/amendola_troianiello_metropoli_spazio_periferico/source.md,9. Consignes pour les futurs atomes,S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",,,,,,,,source secondaire critique / sociologie culturelle du post-punk,"centre/périphérie, focal places, Manchester, Liverpool, Sheffield, post-punk, Factory Records, réification culturelle",ne pas utiliser comme source primaire ; croiser les faits ; ne pas réduire Joy Division à la causalité urbaine,"Alfonso Amendola et Novella Troianiello, Metropoli e spazio periferico nell underground post-punk inglese, 2021",2021,,,,,Alfonso Amendola et Novella Troianiello,Metropoli e spazio periferico nell’underground post-punk inglese,Our Vision Touched the Sky: Fenomenologia dei Joy Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/barone_directionless_so_plain_to_see/source.md::84,sources/barone_directionless_so_plain_to_see/source.md,9. Consignes pour les futurs atomes,S56,"S56 — Barone, Directionless so plain to see, 2021",,,,,,Linda Barone,"Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive","source secondaire critique / stylistique, traduction, linguistique textuelle, lecture littéraire et émotionnelle des textes de Ian Curtis",traduction ; stylistique ; mind style ; Ian Curtis écrivain ; paroles comme corpus poétique ; I / You ; attente ; temps ; littérature ; Dostoevsky ; T. S. Eliot ; Burroughs ; We Were Strangers ; Jon Savage ; marketing éditorial ; lumière / obscurité,"ne pas utiliser comme source primaire ; vérifier les citations de paroles ; distinguer influence attestée, rapprochement interprétatif et lecture personnelle ; ne pas psychologiser le mind style ; ne pas réduire S56 à la biographie de Curtis","Linda Barone, Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/bauman_liquid_modernity/registers_update_s39_passage_modernite_liquide.md::113,sources/bauman_liquid_modernity/registers_update_s39_passage_modernite_liquide.md,"S39 — Compléments aux registres — *Liquid Modernity*, 2000",S39,"S39 — Bauman, Liquid Modernity, 2000",,,,,,,,,,,"Zygmunt Bauman, Liquid Modernity, 2000",2000,compléments registres structurants et spécialisés,2026-05-17,"Passage programmatique sur le passage de la modernité solide à la modernité liquide : affaiblissement des cadres durables, primat de la mobilité, instabilité des appartenances, fragilité des liens et transfert de l’incertitude vers les individus.",aucune citation verbatim intégrée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/bauman_liquid_modernity/relations_stabilisees.md::114,sources/bauman_liquid_modernity/relations_stabilisees.md,"S39 — Relations stabilisées — *Liquid Modernity*, 2000",S39,"S39 — Bauman, Liquid Modernity, 2000",,,,,,,,,,,"Zygmunt Bauman, Liquid Modernity, 2000",2000,relations stabilisées v2,2026-05-17,"Passage programmatique sur le passage de la modernité solide à la modernité liquide : affaiblissement des cadres durables, primat de la mobilité, fragilité des appartenances et transfert de l’incertitude vers les individus.",aucune citation verbatim intégrée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/bauman_liquid_modernity/source.md::116,sources/bauman_liquid_modernity/source.md,Consignes pour les futurs atomes,S39,"S39 — Bauman, Liquid Modernity, 2000",,,,,,,,source secondaire théorique / sociologie de la modernité,"modernité liquide, dissolution des cadres stables, mobilité, incertitude, fragilité des appartenances, réception contemporaine",ne pas utiliser comme source historique ou musicale ; employer Bauman comme cadre rétrospectif ; distinguer Liquid Modernity de La vie liquide,"Zygmunt Bauman, Liquid Modernity, 2000",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
