kind,id,file,heading,source_id,source_label,auteur,titre,source_year,nature,status,priority,type_unite,source_short_title,annee,dossier_source,fichier_source_original,pages_pdf_exemplaire,statut,titre_article,titre_ouvrage,direction,serie,lieu_edition,editeur,pagination,pages_pdf,fiabilite,fichier_source_recommande,chapitres,chapitres_secondaires,niveau_preuve,citation_directe,date_pdf,partie,note,volume_contenant,isbn,artiste,titre_album,date_sortie_album,label,catalogue,producteurs,source_drive,titre_revue,volume_numero,doi,concepts,auteurs_direction,auteur_alias,note_auteur,date,institution,command_paper,collection,usage,source_url,titre_chapitre,titre_section,publication_connue,pagination_article,collection_ou_imprint,fichier_source,note_s29,auteur_principal,lieu_publication,annee_publication,isbn_paperback,isbn_hardback,isbn_cloth,editeurs,edition,titre_ouvrage_recense,auteur_ouvrage_recense,annee_ouvrage_recense,revue,volume,dossier,date_publication,url,reference_complete,source_origin,arbitrage,prudence,legacy_id,croisements_corpus,distinction_critique,imprint
source,S57,sources/villani_ti_sfido_a_disperarti/source.md,"S57 — Source canonique — Villani, « Ti sfido a disperarti », 2021",S57,"S57 — Villani, Ti sfido a disperarti, 2021",Massimo Villani,Ti sfido a disperarti. I Joy Division e la notte del pensiero,2021,,,,source,"Villani, Ti sfido a disperarti, 2021",2021,sources/villani_ti_sfido_a_disperarti/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 214-219 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S29,sources/goddard_missions_dead_souls/source.md,"S29 — Goddard, « Missions of Dead Souls », 2018",S29,"S29 — Goddard, Missions of Dead Souls, 2018",Michael Goddard,"Missions of Dead Souls: A Hauntology of the Industrial, Modernism and Esotericism in the Music of Joy Division",2018,chapitre d’ouvrage critique / étude esthétique et théorique,,,,"Goddard, Missions of Dead Souls, 2018",2018,sources/goddard_missions_dead_souls/,"Martin Power, Eoin Devereux, Aileen Dillane - Heart & Soul, Critical Essays on Joy Division.pdf",,verifie ; source canonique fixée ; remplace l’ancienne attribution 2011 / Our Vision Touched the Sky,"Missions of Dead Souls: A Hauntology of the Industrial, Modernism and Esotericism in the Music of Joy Division",Heart and Soul: Critical Essays on Joy Division,"[""Martin J. Power"", ""Eoin Devereux"", ""Aileen Dillane""]","Popular Musics Matter: Social, Political and Cultural Interventions",London ; New York,Rowman & Littlefield International,p. 3-16,34-47,forte comme source critique ; à croiser pour les faits biographiques et les citations de paroles,S29_goddard_missions_dead_souls_heart_and_soul_2018.pdf,"[""Chapitre 1"", ""Chapitre 3"", ""Chapitre 7"", ""Chapitre 11"", ""Chapitre 14""]","[""Chapitre 5"", ""Chapitre 9""]",source secondaire critique / cadre théorique hauntologique,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S80,sources/valdes_miyares_transmission/source.md,"Source S80 — Valdés Miyares, « Communication Breakdown: Inarticulacy and the Significance of ""Transmission"" », 2018",,"S80 — Valdés Miyares, Communication Breakdown / Transmission, 2018",J. Rubén Valdés Miyares,Communication Breakdown: Inarticulacy and the Significance of 'Transmission',2018,chapitre d'ouvrage collectif,,,,"J. Rubén Valdés Miyares, Communication Breakdown: Inarticulacy and the Significance of 'Transmission', 2018",2018,sources/valdes_miyares_transmission/,,,atomisee,Communication Breakdown: Inarticulacy and the Significance of 'Transmission',Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 99–114,,haute,,,,,,2021-01-15,PART 3: Joy Division and Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S77,sources/worley_punk_politics_british_fanzines/source.md,"S77 — Source canonique — Worley, « Punk, Politics and British (fan)zines, 1976–84 », 2015",S77,"S77 — Worley, Punk, Politics and British (fan)zines, 1976–84, 2015",Matthew Worley,"‘While the world was dying, did you wonder why?’: Punk, Politics and British (fan)zines, 1976–84",2015,,,,source,"Worley, Punk, Politics and British (fan)zines, 1976–84, 2015",2015,sources/worley_punk_politics_british_fanzines/,Fanzines submitted (1).pdf,40 pages ; article accepté ; version CentAUR / University of Reading,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S07,sources/engels_condition_working_class_england/source.md,"S07 — Source canonique — Engels, *The Condition of the Working Class in England*, 1845 / éd. Penguin Classics 1987",S07,"S07 — Engels, The Condition of the Working Class in England, 1845 / éd. Penguin Classics 1987",Friedrich Engels,The Condition of the Working Class in England,1845,,,,source,"Engels, The Condition of the Working Class in England, 1845",1845,sources/engels_condition_working_class_england/,condition-working-class-england.pdf,"206 pages ; passages utiles prioritaires : Introduction, The Industrial Proletariat, The Great Towns, Manchester / Salford / Hulme",source canonique refixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S88,sources/cashell_spectral_presences_new_order/source.md,"Source S88 — Cashell, « Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order », 2018",,"S88 — Cashell, Spectral Presences: Transition from Joy Division to New Order, 2018",Kieran Cashell,Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order,2018,chapitre d'ouvrage collectif,,,,"Kieran Cashell, Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order, 2018",2018,sources/cashell_spectral_presences_new_order/,,,atomisee,Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 245–266,,a_evaluer,,,,,,2021-01-15,"PART 6: Temptation, Transmission and Transitions","Contient deux figures : The Gnomon (fig. 15.1, p. 250) et pochette 'Ceremony' 1981, Saville & Wickens (fig. 15.2, p. 259).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S85,sources/malcolm_mining_counterculture/source.md,"Source S85 — Malcolm, « Mining for Counterculture », 2018",,"S85 — Malcolm, Mining for Counterculture, 2018",Colin Malcolm,Mining for Counterculture,2018,chapitre d'ouvrage collectif,,,,"Colin Malcolm, Mining for Counterculture, 2018",2018,sources/malcolm_mining_counterculture/,,,atomisee,Mining for Counterculture,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 195–208,,a_evaluer,,,,,,2021-01-15,PART 5: Cultural Legacies,"Contient une figure : parka Raf Simons avec logo Factory Records, Open Eye Gallery 2017 (fig. 12.1, p. 196).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S51,sources/malvezzi_dream_english_kid_lo_fi/source.md,"S51 — Source canonique — Malvezzi, « Dream English Kid 1978-1980. L’immagine lo-fi dei Joy Division nei media popolari inglesi », 2021",S51,"S51 — Malvezzi, Dream English Kid 1978-1980, 2021",Jennifer Malvezzi,Dream English Kid 1978-1980. L’immagine lo-fi dei Joy Division nei media popolari inglesi,2021,,,,source,"Malvezzi, Dream English Kid 1978-1980, 2021",2021,sources/malvezzi_dream_english_kid_lo_fi/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 134-145,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S63,sources/jacobson_jeffrey_wilson_faustian/source.md,"Source S63 — Jacobson & Jeffrey, « Tony Wilson's Bloody Contract », 2018",,"S63 — Jacobson & Jeffrey, Tony Wilson's Bloody Contract, 2018","Dan Jacobson, Ian Jeffrey",Tony Wilson's Bloody Contract: A Re-enactment of the Faustian Bargain,2018,chapitre d'ouvrage collectif,,,,"Dan Jacobson, Ian Jeffrey, Tony Wilson's Bloody Contract: A Re-enactment of the Faustian Bargain, 2018",2018,sources/jacobson_jeffrey_wilson_faustian/,,,atomisee,Tony Wilson's Bloody Contract: A Re-enactment of the Faustian Bargain,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 17–32,,"forte comme analyse conceptuelle ; données historiques (RCA, Brandwood) à croiser avec S41 et S45",,,,,,2021-01-15,PART 1: Dead Souls: Hauntology and Faustian Contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S67,sources/naiman_lonely_place_illness/source.md,"Source S67 — Naiman, « In a Lonely Place: Illness and the Temporal Exile of Ian Curtis », 2018",,"S67 — Naiman, In a Lonely Place: Illness and Temporal Exile of Ian Curtis, 2018",Tiffany Naiman,In a Lonely Place: Illness and the Temporal Exile of Ian Curtis,2018,chapitre d'ouvrage collectif,,,,"Tiffany Naiman, In a Lonely Place: Illness and the Temporal Exile of Ian Curtis, 2018",2018,sources/naiman_lonely_place_illness/,,,atomisee,In a Lonely Place: Illness and the Temporal Exile of Ian Curtis,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 83–98,,haute,,,,,,2021-01-15,PART 3: Joy Division and Mental Health,"Le chapitre contient une notation musicale originale de la mélodie de 'Love Will Tear Us Apart' (fig. 6.1, p. 91).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
